Geneid	Chr	Start	End	Strand	Length	BC3R3
Gene_000068	Random_chr_001	167707	168566	-	859	20
Gene_000069	Random_chr_001	168674	170376	-	1702	4
Gene_000070	Random_chr_001	170669	172155	-	1486	0
Gene_000071	Random_chr_001	172517	174105	+	1588	232
Gene_000072	Random_chr_001	174572	175218	-	646	106
Gene_000073	Random_chr_001	176786	182116	-	5330	21
Gene_000074	Random_chr_001	182659	185909	+	3250	145
Gene_000075	Random_chr_001	186135	186913	+	778	424
Gene_000076	Random_chr_001	189860	191292	-	1432	973
Gene_000077	Random_chr_001	191777	192737	+	960	69
Gene_000078	Random_chr_001	192810	193064	+	254	17
Gene_000079	Random_chr_001	193383	196901	+	3518	2518
Gene_000080	Random_chr_001	197125	197535	-	410	53
Gene_000081	Random_chr_001	197635	199300	-	1665	41
Gene_000082	Random_chr_001	199383	201124	-	1741	302
Gene_000083	Random_chr_001	201614	204116	-	2502	326
Gene_000084	Random_chr_001	204745	205981	-	1236	10351
Gene_000085	Random_chr_001	206359	208065	+	1706	824
Gene_000086	Random_chr_001	208156	209561	+	1405	1126
Gene_000087	Random_chr_001	209580	214213	-	4633	4605
Gene_000088	Random_chr_001	214429	214654	-	225	108
Gene_000089	Random_chr_001	214853	215191	+	338	172
Gene_000090	Random_chr_001	215248	216439	-	1191	486
Gene_000091	Random_chr_001	216709	216981	-	272	141
Gene_000092	Random_chr_001	217415	218648	+	1233	708
Gene_000093	Random_chr_001	218937	219707	-	770	54
Gene_000094	Random_chr_001	220151	221206	+	1055	505
Gene_000095	Random_chr_001	221208	222571	+	1363	980
Gene_000096	Random_chr_001	222573	223050	-	477	1330
Gene_000097	Random_chr_001	223781	224560	+	779	127
Gene_000098	Random_chr_001	224566	231199	-	6633	2494
Gene_000099	Random_chr_001	232008	233172	+	1164	1137
Gene_000100	Random_chr_001	233174	235084	-	1910	7635
Gene_000101	Random_chr_001	235266	236745	-	1479	201
Gene_000102	Random_chr_001	236915	239007	-	2092	217
Gene_000103	Random_chr_001	239286	242990	-	3704	4467
Gene_000104	Random_chr_001	244045	244422	-	377	18
Gene_000105	Random_chr_001	244574	245253	+	679	195
Gene_000106	Random_chr_001	245573	248976	+	3403	1483
Gene_000107	Random_chr_001	249014	250434	-	1420	742
Gene_000108	Random_chr_001	250528	251998	+	1470	609
Gene_000109	Random_chr_001	252021	255047	-	3026	34
Gene_000110	Random_chr_001	255144	257351	-	2207	909
Gene_000111	Random_chr_001	259507	260811	+	1304	96
Gene_000112	Random_chr_001	260955	262078	-	1123	307
Gene_000113	Random_chr_001	262258	264984	+	2726	1132
Gene_000114	Random_chr_001	265696	266430	+	734	671
Gene_000115	Random_chr_001	270785	271015	+	230	89
Gene_000116	Random_chr_001	271958	272187	-	229	34.5
Gene_000117	Random_chr_001	272744	273580	+	836	3
Gene_000118	Random_chr_001	273954	275603	-	1649	31
Gene_000119	Random_chr_001	276167	278179	+	2012	155
Gene_000120	Random_chr_001	278583	280471	-	1888	1206
Gene_000121	Random_chr_001	280564	280845	-	281	6
Gene_000122	Random_chr_001	281054	281602	+	548	130
Gene_000123	Random_chr_001	281826	282032	-	206	1
Gene_000124	Random_chr_001	282393	283044	-	651	0
Gene_000125	Random_chr_001	283630	284951	+	1321	21
Gene_000126	Random_chr_001	285060	286760	-	1700	22
Gene_000127	Random_chr_001	286762	288458	-	1696	1601
Gene_000128	Random_chr_001	288506	290594	+	2088	1233
Gene_000129	Random_chr_001	290596	291378	-	782	2
Gene_000130	Random_chr_001	291822	293878	+	2056	1
Gene_000131	Random_chr_001	294835	296214	-	1379	2777
Gene_000132	Random_chr_001	296654	298008	+	1354	3757
Gene_000133	Random_chr_001	298354	299360	+	1006	0
Gene_000134	Random_chr_001	299438	300873	-	1435	325
Gene_000135	Random_chr_001	301368	304336	+	2968	586
Gene_000136	Random_chr_001	304398	305695	+	1297	354
Gene_000137	Random_chr_001	306033	308737	-	2704	275
Gene_000138	Random_chr_001	309281	310003	+	722	787
Gene_000139	Random_chr_001	310068	311554	-	1486	1039
Gene_000140	Random_chr_001	312163	315049	+	2886	1758
Gene_000141	Random_chr_001	315239	316165	+	926	3039
Gene_000142	Random_chr_001	316224	317636	-	1412	348
Gene_000143	Random_chr_001	317807	319833	+	2026	450
Gene_000144	Random_chr_001	319941	321821	+	1880	644
Gene_000145	Random_chr_001	321851	323531	+	1680	704
Gene_000146	Random_chr_001	324325	325692	+	1367	958
Gene_000147	Random_chr_001	325694	328208	+	2514	2544
Gene_000148	Random_chr_001	328289	329041	+	752	197
Gene_000149	Random_chr_001	329221	330447	+	1226	113
Gene_000150	Random_chr_001	330557	331802	-	1245	10
Gene_000151	Random_chr_001	331939	335906	-	3967	10
Gene_000152	Random_chr_001	336142	336871	-	729	11
Gene_000153	Random_chr_001	337744	339306	-	1562	6
Gene_000154	Random_chr_001	340218	341136	-	918	401
Gene_000155	Random_chr_001	341739	343545	+	1806	359
Gene_000156	Random_chr_001	343547	345997	-	2450	62
Gene_000157	Random_chr_001	346078	346563	-	485	9061
Gene_000158	Random_chr_001	347565	348347	+	782	309
Gene_000159	Random_chr_001	348517	348923	+	406	1531
Gene_000160	Random_chr_001	350365	352473	+	2108	89
Gene_000161	Random_chr_001	353690	355975	+	2285	63
Gene_000162	Random_chr_001	356215	356547	+	332	19
Gene_000163	Random_chr_001	356769	358675	+	1906	3
Gene_000164	Random_chr_001	358851	364010	+	5159	1778
Gene_000165	Random_chr_001	365617	366965	+	1348	672.67
Gene_000166	Random_chr_001	367047	367409	-	362	669
Gene_000167	Random_chr_001	367996	369312	-	1316	89
Gene_000168	Random_chr_001	369517	369895	-	378	14
Gene_000169	Random_chr_001	370143	372008	+	1865	2491
Gene_000170	Random_chr_001	373150	374778	-	1628	1182
Gene_000171	Random_chr_001	376339	377228	+	889	1032
Gene_000172	Random_chr_001	377347	379177	+	1830	322
Gene_000173	Random_chr_001	381194	385041	-	3847	1645
Gene_000174	Random_chr_001	385518	385708	+	190	613
Gene_000175	Random_chr_001	386146	389776	+	3630	1407
Gene_000176	Random_chr_001	390568	391890	-	1322	803
Gene_000177	Random_chr_001	392575	392781	+	206	0
Gene_000178	Random_chr_001	393046	394743	+	1697	3
Gene_000179	Random_chr_001	395138	397536	+	2398	84
Gene_000180	Random_chr_001	397782	400681	+	2899	152
Gene_000181	Random_chr_001	400771	402624	+	1853	1041
Gene_000182	Random_chr_001	402626	404297	-	1671	124
Gene_000183	Random_chr_001	405149	405832	+	683	2
Gene_000184	Random_chr_001	405966	407201	-	1235	791
Gene_000185	Random_chr_001	407203	409960	+	2757	1228
Gene_000186	Random_chr_001	410615	411114	+	499	0
Gene_000187	Random_chr_001	411340	411832	-	492	186
Gene_000188	Random_chr_001	412295	413078	+	783	846
Gene_000189	Random_chr_001	413087	413740	-	653	13575
Gene_000190	Random_chr_001	413853	414284	-	431	235
Gene_000191	Random_chr_001	415062	416376	-	1314	2
Gene_000192	Random_chr_001	416677	419752	+	3075	2052
Gene_000193	Random_chr_001	419754	422045	+	2291	1108
Gene_000194	Random_chr_001	422105	424342	-	2237	4608
Gene_000195	Random_chr_001	424743	425891	-	1148	1
Gene_000196	Random_chr_001	426236	427035	-	799	0.33
Gene_000197	Random_chr_001	427341	428165	-	824	0
Gene_000198	Random_chr_001	428378	429227	-	849	19.33
Gene_000199	Random_chr_001	429659	429994	+	335	17
Gene_000200	Random_chr_001	430217	431726	-	1509	400
Gene_000201	Random_chr_001	433275	434144	+	869	380
Gene_000202	Random_chr_001	434178	435234	-	1056	8177
Gene_000203	Random_chr_001	436048	436260	-	212	1
Gene_000204	Random_chr_001	436484	436663	-	179	0
Gene_000205	Random_chr_001	436849	437798	-	949	755
Gene_000206	Random_chr_001	437800	440528	-	2728	1551
Gene_000207	Random_chr_001	440821	441768	-	947	29
Gene_000208	Random_chr_001	441817	442530	-	713	417
Gene_000209	Random_chr_001	442599	443672	-	1073	255
Gene_000210	Random_chr_001	443888	444277	+	389	172
Gene_000211	Random_chr_001	444279	445787	-	1508	1881
Gene_000212	Random_chr_001	445996	448200	-	2204	1276
Gene_000213	Random_chr_001	448630	449700	+	1070	738
Gene_000214	Random_chr_001	449702	451510	-	1808	2773
Gene_000215	Random_chr_001	452066	453619	+	1553	1313
Gene_000216	Random_chr_001	454244	454775	-	531	969
Gene_000217	Random_chr_001	454907	455856	-	949	4105
Gene_000218	Random_chr_001	455947	456692	+	745	155
Gene_000219	Random_chr_001	456789	457312	-	523	583
Gene_000220	Random_chr_001	457885	459146	+	1261	1044
Gene_000221	Random_chr_001	459998	461155	-	1157	2060
Gene_000222	Random_chr_001	461590	464411	+	2821	1249
Gene_000223	Random_chr_001	464414	466131	+	1717	1305
Gene_000224	Random_chr_001	466133	468145	-	2012	1100
Gene_000225	Random_chr_001	468444	468646	+	202	2
Gene_000226	Random_chr_001	468723	469047	+	324	4
Gene_000227	Random_chr_001	470166	470738	+	572	5
Gene_000228	Random_chr_001	471337	472419	+	1082	37
Gene_000229	Random_chr_001	472707	473432	+	725	1288
Gene_000230	Random_chr_001	473504	474514	-	1010	228
Gene_000231	Random_chr_001	474737	476462	+	1725	2033
Gene_000232	Random_chr_001	476741	477170	+	429	252
Gene_000233	Random_chr_001	477172	478100	+	928	626
Gene_000234	Random_chr_001	478153	478416	-	263	308
Gene_000235	Random_chr_001	479228	481336	-	2108	380
Gene_000236	Random_chr_001	483338	486423	+	3085	687
Gene_000237	Random_chr_001	486425	486735	+	310	57
Gene_000238	Random_chr_001	487077	488033	+	956	1
Gene_000239	Random_chr_001	488191	488964	-	773	0
Gene_000240	Random_chr_001	489262	490232	+	970	3
Gene_000241	Random_chr_001	490700	491607	+	907	14
Gene_000242	Random_chr_001	491679	492727	-	1048	685
Gene_000243	Random_chr_001	492918	493202	+	284	6
Gene_000244	Random_chr_001	493589	495208	+	1619	278
Gene_000245	Random_chr_001	495286	498324	-	3038	135
Gene_000246	Random_chr_001	498428	499924	-	1496	50
Gene_000247	Random_chr_001	500554	501225	+	671	307
Gene_000248	Random_chr_001	501329	502697	-	1368	338
Gene_000249	Random_chr_001	503071	504568	+	1497	529
Gene_000250	Random_chr_001	506465	512445	+	5980	106
Gene_000251	Random_chr_001	512554	513059	-	505	2
Gene_000252	Random_chr_001	513789	514709	+	920	0
Gene_000253	Random_chr_001	514985	515698	+	713	15456
Gene_000254	Random_chr_001	516328	516925	+	597	74
Gene_000255	Random_chr_001	516977	517288	+	311	17
Gene_000256	Random_chr_001	517559	519100	+	1541	1006
Gene_000257	Random_chr_001	519206	524810	-	5604	674
Gene_000258	Random_chr_001	524886	525383	-	497	64
Gene_000259	Random_chr_001	527022	527533	+	511	523
Gene_000260	Random_chr_001	527616	529663	-	2047	113
Gene_000261	Random_chr_001	530788	531411	+	623	515
Gene_000262	Random_chr_001	531705	532664	+	959	528
Gene_000263	Random_chr_001	532872	533999	+	1127	3167
Gene_000264	Random_chr_001	534924	535824	+	900	1020
Gene_000265	Random_chr_001	535939	538337	+	2398	708
Gene_000266	Random_chr_001	538962	540755	+	1793	537
Gene_000267	Random_chr_001	540762	542276	-	1514	509
Gene_000268	Random_chr_001	542688	549013	+	6325	134
Gene_000269	Random_chr_001	549227	550815	+	1588	889
Gene_000270	Random_chr_001	550954	552111	+	1157	1868
Gene_000271	Random_chr_001	552353	553339	+	986	4
Gene_000272	Random_chr_001	553398	554526	-	1128	320
Gene_000273	Random_chr_001	554585	556496	+	1911	527
Gene_000274	Random_chr_001	556540	558045	+	1505	516
Gene_000275	Random_chr_001	558293	558715	+	422	6440
Gene_000276	Random_chr_001	558793	559155	-	362	507
Gene_000277	Random_chr_001	559157	560019	-	862	1350
Gene_000278	Random_chr_001	560220	562600	-	2380	333
Gene_000279	Random_chr_001	564419	565656	-	1237	550
Gene_000280	Random_chr_001	566436	567116	+	680	664
Gene_000281	Random_chr_001	567287	568630	+	1343	3513
Gene_000282	Random_chr_001	569081	570207	+	1126	225
Gene_000283	Random_chr_001	571310	573180	+	1870	3811
Gene_000284	Random_chr_001	573267	573670	-	403	714
Gene_000285	Random_chr_001	574594	574869	-	275	38
Gene_000286	Random_chr_001	575016	576647	+	1631	1360
Gene_000287	Random_chr_001	577443	578097	+	654	0
Gene_000288	Random_chr_001	578242	578781	+	539	557
Gene_000289	Random_chr_001	578832	580904	-	2072	300
Gene_000290	Random_chr_001	581201	582693	-	1492	7056
Gene_000291	Random_chr_001	583686	585054	-	1368	1178
Gene_000292	Random_chr_001	585261	585989	+	728	86
Gene_000293	Random_chr_001	587315	588550	+	1235	590
Gene_000294	Random_chr_001	588717	589457	+	740	2
Gene_000295	Random_chr_001	589648	591098	+	1450	22
Gene_000296	Random_chr_001	591100	591940	+	840	53
Gene_000297	Random_chr_001	591962	597069	-	5107	2783
Gene_000298	Random_chr_001	597764	599208	+	1444	3435
Gene_000299	Random_chr_001	599210	600008	-	798	80
Gene_000300	Random_chr_001	601344	605429	+	4085	670.5
Gene_000301	Random_chr_001	605874	608260	+	2386	535
Gene_000302	Random_chr_001	610741	611310	+	569	247
Gene_000303	Random_chr_001	611483	613385	+	1902	756
Gene_000304	Random_chr_001	613391	613949	-	558	91
Gene_000305	Random_chr_001	614112	615003	-	891	107
Gene_000306	Random_chr_001	615354	615887	-	533	105
Gene_000307	Random_chr_001	616431	617399	+	968	366
Gene_000308	Random_chr_001	617620	619686	+	2066	15
Gene_000309	Random_chr_001	619804	625501	-	5697	34
Gene_000310	Random_chr_001	625693	627111	-	1418	1052
Gene_000311	Random_chr_001	627276	628345	+	1069	628
Gene_000312	Random_chr_001	628740	631737	+	2997	4164
Gene_000313	Random_chr_001	631934	633276	+	1342	2059
Gene_000314	Random_chr_001	633922	635775	-	1853	114
Gene_000315	Random_chr_001	636193	637548	+	1355	980
Gene_000316	Random_chr_001	637706	638996	+	1290	1066
Gene_000317	Random_chr_001	639000	639738	-	738	376
Gene_000318	Random_chr_001	640192	641497	-	1305	1148
Gene_000319	Random_chr_001	642017	642502	+	485	679
Gene_000320	Random_chr_001	642567	644160	-	1593	2614
Gene_000321	Random_chr_001	644576	646081	+	1505	4106
Gene_000322	Random_chr_001	646414	648412	-	1998	552
Gene_000323	Random_chr_001	648897	649194	+	297	117
Gene_000324	Random_chr_001	649409	651342	-	1933	2034
Gene_000325	Random_chr_001	652227	653093	-	866	708
Gene_000326	Random_chr_001	653441	654682	+	1241	1333
Gene_000327	Random_chr_001	655687	656627	-	940	1176
Gene_000328	Random_chr_001	656926	658460	-	1534	1014
Gene_000329	Random_chr_001	658705	659234	-	529	648
Gene_000330	Random_chr_001	659886	661122	+	1236	108
Gene_000331	Random_chr_001	661310	669592	-	8282	3579
Gene_000332	Random_chr_001	670033	672292	+	2259	135
Gene_000333	Random_chr_001	673177	675347	-	2170	144
Gene_000334	Random_chr_001	675609	677138	-	1529	2727
Gene_000335	Random_chr_001	677448	680117	+	2669	1923
Gene_000336	Random_chr_001	683452	683826	+	374	77
Gene_000337	Random_chr_001	684658	687809	-	3151	1076
Gene_000338	Random_chr_001	688027	688584	-	557	26
Gene_000339	Random_chr_001	688764	690763	+	1999	933
Gene_000340	Random_chr_001	690849	692362	-	1513	17
Gene_000341	Random_chr_001	692861	693304	-	443	7
Gene_000342	Random_chr_001	693774	695093	-	1319	762
Gene_000343	Random_chr_001	695487	695913	-	426	215
Gene_000344	Random_chr_001	696252	696731	+	479	665
Gene_000345	Random_chr_001	696898	700043	+	3145	939
Gene_000346	Random_chr_001	700216	700494	-	278	198
Gene_000347	Random_chr_001	701244	703221	+	1977	1167
Gene_000348	Random_chr_001	703314	703888	-	574	1210
Gene_000349	Random_chr_001	704082	705692	-	1610	139
Gene_000350	Random_chr_001	706360	707290	-	930	4016
Gene_000351	Random_chr_001	707627	708523	+	896	2153
Gene_000352	Random_chr_001	708580	708983	-	403	121
Gene_000353	Random_chr_001	710015	710389	-	374	281
Gene_000354	Random_chr_001	710462	711328	-	866	243
Gene_000355	Random_chr_001	711590	712116	+	526	108
Gene_000356	Random_chr_001	712250	712761	+	511	672
Gene_000357	Random_chr_001	713387	714736	+	1349	342
Gene_000358	Random_chr_001	714791	717194	-	2403	516
Gene_000359	Random_chr_001	717979	732444	+	14465	1004
Gene_000360	Random_chr_001	732652	735425	-	2773	84
Gene_000361	Random_chr_001	735819	738795	-	2976	245
Gene_000362	Random_chr_001	739570	740883	-	1313	56
Gene_000363	Random_chr_001	741030	742808	+	1778	14
Gene_000364	Random_chr_001	743033	744939	+	1906	58
Gene_000365	Random_chr_001	744999	745874	-	875	4766
Gene_000366	Random_chr_001	746125	746708	+	583	88
Gene_000367	Random_chr_001	747946	750032	-	2086	82
Gene_000368	Random_chr_001	750887	752012	+	1125	429
Gene_000369	Random_chr_001	753804	754812	+	1008	1182
Gene_000370	Random_chr_001	755294	756927	+	1633	6173
Gene_000371	Random_chr_001	756975	761721	-	4746	3459
Gene_000372	Random_chr_001	764676	766434	-	1758	5
Gene_000373	Random_chr_001	766525	769186	-	2661	924
Gene_000374	Random_chr_001	769379	770410	+	1031	24
Gene_000375	Random_chr_001	770950	775051	+	4101	97
Gene_000376	Random_chr_001	775296	776040	-	744	2304
Gene_000377	Random_chr_001	776088	778143	-	2055	4085
Gene_000378	Random_chr_001	778538	781541	+	3003	72
Gene_000379	Random_chr_001	781691	782339	-	648	236
Gene_000380	Random_chr_001	783183	784994	-	1811	335
Gene_000381	Random_chr_001	785239	785897	+	658	139
Gene_000382	Random_chr_001	786029	789553	+	3524	375
Gene_000383	Random_chr_001	789654	791143	-	1489	2
Gene_000384	Random_chr_001	791432	792933	-	1501	12
Gene_000385	Random_chr_001	793145	794618	-	1473	3
Gene_000386	Random_chr_001	794931	796895	+	1964	93
Gene_000387	Random_chr_001	796949	798532	-	1583	358
Gene_000388	Random_chr_001	800045	800332	-	287	325
Gene_000389	Random_chr_001	801020	802564	+	1544	138
Gene_000390	Random_chr_001	802905	803677	+	772	4
Gene_000391	Random_chr_001	803839	804219	-	380	158
Gene_000392	Random_chr_001	804221	804743	-	522	160
Gene_000393	Random_chr_001	804930	805481	+	551	13
Gene_000394	Random_chr_001	806603	807579	-	976	579
Gene_000395	Random_chr_001	808125	809788	-	1663	130.5
Gene_000396	Random_chr_001	810231	810721	-	490	131
Gene_000397	Random_chr_001	810894	814296	+	3402	2951
Gene_000398	Random_chr_001	814454	815457	+	1003	37
Gene_000399	Random_chr_001	815621	818084	+	2463	7
Gene_000400	Random_chr_001	819711	823525	+	3814	1424
Gene_000401	Random_chr_001	823823	829684	+	5861	1641
Gene_000402	Random_chr_001	829882	831043	+	1161	496
Gene_000403	Random_chr_001	831175	832518	+	1343	37
Gene_000404	Random_chr_001	832589	832962	-	373	30
Gene_000405	Random_chr_001	834061	836013	+	1952	9838
Gene_000406	Random_chr_001	836052	836651	-	599	11
Gene_000407	Random_chr_001	837847	838440	+	593	9
Gene_000408	Random_chr_001	838566	840011	+	1445	18
Gene_000409	Random_chr_001	840106	841251	+	1145	394
Gene_000410	Random_chr_001	841389	841860	+	471	344
Gene_000411	Random_chr_001	841922	842913	-	991	0
Gene_000412	Random_chr_001	843026	844267	-	1241	991
Gene_000413	Random_chr_001	844528	844948	+	420	921
Gene_000414	Random_chr_001	845503	845883	+	380	389
Gene_000415	Random_chr_001	846447	846520	-	73	0
Gene_000416	Random_chr_001	846706	846779	-	73	3
Gene_000417	Random_chr_001	846967	847040	-	73	3
Gene_000418	Random_chr_001	847226	847299	-	73	1.67
Gene_000419	Random_chr_001	848054	848127	-	73	3
Gene_000420	Random_chr_001	848284	853201	+	4917	781
Gene_000421	Random_chr_001	853275	855053	-	1778	139
Gene_000422	Random_chr_001	855427	857525	+	2098	1
Gene_000423	Random_chr_001	857747	859359	-	1612	857
Gene_000424	Random_chr_001	859361	859643	+	282	188
Gene_000425	Random_chr_001	859945	861512	+	1567	1005
Gene_000426	Random_chr_001	861601	862655	-	1054	199
Gene_000427	Random_chr_001	862855	863260	+	405	4
Gene_000428	Random_chr_001	863417	863955	+	538	670
Gene_000429	Random_chr_001	864005	864355	+	350	513
Gene_000430	Random_chr_001	864470	865688	-	1218	951
Gene_000431	Random_chr_001	865734	866694	+	960	160
Gene_000432	Random_chr_001	867786	868082	+	296	39
Gene_000433	Random_chr_001	868231	869495	+	1264	771
Gene_000434	Random_chr_001	870348	870995	-	647	169
Gene_000435	Random_chr_001	871038	871868	+	830	137
Gene_000436	Random_chr_001	872078	878231	+	6153	960
Gene_000437	Random_chr_001	878233	879525	-	1292	860
Gene_000438	Random_chr_001	880206	880703	+	497	0
Gene_000439	Random_chr_001	880968	881693	+	725	1
Gene_000440	Random_chr_001	881856	882149	+	293	18
Gene_000441	Random_chr_001	882464	882820	+	356	240
Gene_000442	Random_chr_001	882866	884012	-	1146	1789
Gene_000443	Random_chr_001	884379	886641	+	2262	1675
Gene_000444	Random_chr_001	886644	887652	-	1008	1340
Gene_000445	Random_chr_001	888411	889451	-	1040	45
Gene_000446	Random_chr_001	889668	890383	+	715	2204
Gene_000447	Random_chr_001	890439	891458	-	1019	3427
Gene_000448	Random_chr_001	891652	892341	-	689	1887
Gene_000449	Random_chr_001	894934	896651	-	1717	18
Gene_000450	Random_chr_001	896791	897352	-	561	363
Gene_000451	Random_chr_001	897617	898946	+	1329	2198
Gene_000452	Random_chr_001	898991	900539	-	1548	182
Gene_000453	Random_chr_001	901208	902306	-	1098	153
Gene_000454	Random_chr_001	903387	905023	-	1636	14
Gene_000455	Random_chr_001	905605	906129	-	524	386
Gene_000456	Random_chr_001	906682	908073	+	1391	96864
Gene_000457	Random_chr_001	908878	909839	+	961	5
Gene_000458	Random_chr_001	909960	910700	-	740	735
Gene_000459	Random_chr_001	911092	912343	+	1251	592
Gene_000460	Random_chr_001	912491	915218	+	2727	5125
Gene_000461	Random_chr_001	916283	917225	+	942	12
Gene_000462	Random_chr_001	917229	918181	-	952	1308
Gene_000463	Random_chr_001	918448	919140	-	692	138
Gene_000464	Random_chr_001	919385	920820	+	1435	1714
Gene_000465	Random_chr_001	920844	923851	-	3007	1843
Gene_000466	Random_chr_001	923955	925515	-	1560	1222
Gene_000467	Random_chr_001	925692	926929	-	1237	10
Gene_000468	Random_chr_001	928759	929047	-	288	211
Gene_000469	Random_chr_001	929134	931560	-	2426	577
Gene_000470	Random_chr_001	931605	933042	+	1437	111
Gene_000471	Random_chr_001	934616	935230	-	614	943
Gene_000472	Random_chr_001	935513	938541	+	3028	511
Gene_000473	Random_chr_001	938748	939076	-	328	15
Gene_000474	Random_chr_001	939749	941315	+	1566	1792
Gene_000475	Random_chr_001	941639	942558	+	919	580
Gene_000476	Random_chr_001	942882	943510	+	628	217
Gene_000477	Random_chr_001	944049	945877	+	1828	28
Gene_000478	Random_chr_001	946501	946909	+	408	3
Gene_000479	Random_chr_001	947080	947646	+	566	2
Gene_000480	Random_chr_001	947757	948808	+	1051	12
Gene_000481	Random_chr_001	948862	949376	-	514	351
Gene_000482	Random_chr_001	949557	949769	+	212	273
Gene_000483	Random_chr_001	950218	952078	+	1860	7084
Gene_000484	Random_chr_001	953305	953507	+	202	243
Gene_000485	Random_chr_001	953561	953824	+	263	305.5
Gene_000486	Random_chr_001	953826	954989	-	1163	1091
Gene_000487	Random_chr_001	955346	955705	+	359	55
Gene_000488	Random_chr_001	955963	956983	+	1020	611
Gene_000489	Random_chr_001	957236	959062	+	1826	2113
Gene_000490	Random_chr_001	959218	961231	-	2013	49
Gene_000491	Random_chr_001	961487	963118	+	1631	71
Gene_000492	Random_chr_001	963167	964785	+	1618	96
Gene_000493	Random_chr_001	965197	966654	-	1457	2
Gene_000494	Random_chr_001	966833	968152	+	1319	4
Gene_000495	Random_chr_001	968195	968917	-	722	534
Gene_000496	Random_chr_001	969364	971915	-	2551	1046
Gene_000497	Random_chr_001	972436	973274	+	838	225
Gene_000498	Random_chr_001	973464	988412	+	14948	2207
Gene_000499	Random_chr_001	988645	989796	+	1151	0
