Geneid	Chr	Start	End	Strand	Length	AC3R1
Gene_000115	Random_Chr_001	270785	271015	+	230	124.83
Gene_000116	Random_Chr_001	271958	272187	-	229	65.5
Gene_000117	Random_Chr_001	272744	273580	+	836	3
Gene_000118	Random_Chr_001	273954	275603	-	1649	46
Gene_000119	Random_Chr_001	276167	278179	+	2012	213
Gene_000120	Random_Chr_001	278583	280471	-	1888	1629
Gene_000121	Random_Chr_001	280564	280845	-	281	6
Gene_000122	Random_Chr_001	281054	281602	+	548	143
Gene_000123	Random_Chr_001	281826	282032	-	206	1
Gene_000124	Random_Chr_001	282393	283044	-	651	0
Gene_000125	Random_Chr_001	283630	284951	+	1321	32
Gene_000126	Random_Chr_001	285060	286760	-	1700	45
Gene_000127	Random_Chr_001	286762	288458	-	1696	2616
Gene_000128	Random_Chr_001	288506	290594	+	2088	2029
Gene_000129	Random_Chr_001	290596	291378	-	782	11
Gene_000130	Random_Chr_001	291822	293878	+	2056	5
Gene_000131	Random_Chr_001	294835	296214	-	1379	4151
Gene_000132	Random_Chr_001	296654	298008	+	1354	4348
Gene_000133	Random_Chr_001	298354	299360	+	1006	2
Gene_000134	Random_Chr_001	299438	300873	-	1435	616
Gene_000135	Random_Chr_001	301368	304336	+	2968	1068
Gene_000136	Random_Chr_001	304398	305695	+	1297	646
Gene_000137	Random_Chr_001	306033	308737	-	2704	778
Gene_000138	Random_Chr_001	309281	310003	+	722	1396
Gene_000139	Random_Chr_001	310068	311554	-	1486	1626
Gene_000140	Random_Chr_001	312163	315049	+	2886	3007
Gene_000141	Random_Chr_001	315239	316165	+	926	4438
Gene_000142	Random_Chr_001	316224	317636	-	1412	538
Gene_000143	Random_Chr_001	317807	319833	+	2026	932
Gene_000144	Random_Chr_001	319941	321821	+	1880	1177
Gene_000145	Random_Chr_001	321851	323531	+	1680	1190
Gene_000146	Random_Chr_001	324325	325692	+	1367	1521
Gene_000147	Random_Chr_001	325694	328208	+	2514	3104
Gene_000148	Random_Chr_001	328289	329041	+	752	142
Gene_000149	Random_Chr_001	329221	330447	+	1226	278
Gene_000150	Random_Chr_001	330557	331802	-	1245	8
Gene_000151	Random_Chr_001	331939	335906	-	3967	20
Gene_000152	Random_Chr_001	336142	336871	-	729	47
Gene_000153	Random_Chr_001	337744	339306	-	1562	42
Gene_000154	Random_Chr_001	340218	341136	-	918	666
Gene_000155	Random_Chr_001	341739	343545	+	1806	730
Gene_000156	Random_Chr_001	343547	345997	-	2450	84
Gene_000157	Random_Chr_001	346078	346563	-	485	9501
Gene_000158	Random_Chr_001	347565	348347	+	782	360
Gene_000159	Random_Chr_001	348517	348923	+	406	1969
Gene_000160	Random_Chr_001	350365	352473	+	2108	202
Gene_000161	Random_Chr_001	353690	355975	+	2285	163
Gene_000162	Random_Chr_001	356215	356547	+	332	42
Gene_000163	Random_Chr_001	356769	358675	+	1906	8
Gene_000164	Random_Chr_001	358851	364010	+	5159	3106
Gene_000165	Random_Chr_001	365617	366965	+	1348	948.67
Gene_000166	Random_Chr_001	367047	367409	-	362	964
Gene_000167	Random_Chr_001	367996	369312	-	1316	112
Gene_000168	Random_Chr_001	369517	369895	-	378	18
Gene_000169	Random_Chr_001	370143	372008	+	1865	3397
Gene_000170	Random_Chr_001	373150	374778	-	1628	1676
Gene_000171	Random_Chr_001	376339	377228	+	889	1196
Gene_000172	Random_Chr_001	377347	379177	+	1830	739
Gene_000173	Random_Chr_001	381194	385041	-	3847	2738
Gene_000174	Random_Chr_001	385518	385708	+	190	641
Gene_000175	Random_Chr_001	386146	389776	+	3630	2426
Gene_000176	Random_Chr_001	390568	391890	-	1322	931
Gene_000177	Random_Chr_001	392575	392781	+	206	0
Gene_000178	Random_Chr_001	393046	394743	+	1697	6
Gene_000179	Random_Chr_001	395138	397536	+	2398	181
Gene_000180	Random_Chr_001	397782	400681	+	2899	363
Gene_000181	Random_Chr_001	400771	402624	+	1853	1303
Gene_000182	Random_Chr_001	402626	404297	-	1671	168
Gene_000183	Random_Chr_001	405149	405832	+	683	7
Gene_000184	Random_Chr_001	405966	407201	-	1235	1262
Gene_000185	Random_Chr_001	407203	409960	+	2757	2396
Gene_000186	Random_Chr_001	410615	411114	+	499	2
Gene_000187	Random_Chr_001	411340	411832	-	492	209
Gene_000188	Random_Chr_001	412295	413078	+	783	1224
Gene_000189	Random_Chr_001	413087	413740	-	653	14158
Gene_000190	Random_Chr_001	413853	414284	-	431	218
Gene_000191	Random_Chr_001	415062	416376	-	1314	5
Gene_000192	Random_Chr_001	416677	419752	+	3075	3373
Gene_000193	Random_Chr_001	419754	422045	+	2291	1975
Gene_000194	Random_Chr_001	422105	424342	-	2237	6242
Gene_000195	Random_Chr_001	424743	425891	-	1148	5
Gene_000196	Random_Chr_001	426236	427035	-	799	1
Gene_000197	Random_Chr_001	427341	428165	-	824	0
Gene_000198	Random_Chr_001	428378	429227	-	849	40
Gene_000199	Random_Chr_001	429659	429994	+	335	22
Gene_000200	Random_Chr_001	430217	431726	-	1509	546
Gene_000201	Random_Chr_001	433275	434144	+	869	456
Gene_000202	Random_Chr_001	434178	435234	-	1056	8769
Gene_000203	Random_Chr_001	436048	436260	-	212	3
Gene_000204	Random_Chr_001	436484	436663	-	179	0
Gene_000205	Random_Chr_001	436849	437798	-	949	1258
Gene_000206	Random_Chr_001	437800	440528	-	2728	2773
Gene_000207	Random_Chr_001	440821	441768	-	947	54
Gene_000208	Random_Chr_001	441817	442530	-	713	466
Gene_000209	Random_Chr_001	442599	443672	-	1073	575
Gene_000210	Random_Chr_001	443888	444277	+	389	206
Gene_000211	Random_Chr_001	444279	445787	-	1508	2566
Gene_000212	Random_Chr_001	445996	448200	-	2204	2350
Gene_000213	Random_Chr_001	448630	449700	+	1070	1240.5
Gene_000214	Random_Chr_001	449702	451510	-	1808	4488
Gene_000215	Random_Chr_001	452066	453619	+	1553	2541
Gene_000216	Random_Chr_001	454244	454775	-	531	966
Gene_000217	Random_Chr_001	454907	455856	-	949	5935
Gene_000218	Random_Chr_001	455947	456692	+	745	237
Gene_000219	Random_Chr_001	456789	457312	-	523	1117
Gene_000220	Random_Chr_001	457885	459146	+	1261	2146
Gene_000221	Random_Chr_001	459998	461155	-	1157	3061
Gene_000222	Random_Chr_001	461590	464411	+	2821	1982
Gene_000223	Random_Chr_001	464414	466131	+	1717	3130
Gene_000224	Random_Chr_001	466133	468145	-	2012	1430
Gene_000225	Random_Chr_001	468444	468646	+	202	2
Gene_000226	Random_Chr_001	468723	469047	+	324	3
Gene_000227	Random_Chr_001	470166	470738	+	572	4
Gene_000228	Random_Chr_001	471337	472419	+	1082	391
Gene_000229	Random_Chr_001	472707	473432	+	725	1339
Gene_000230	Random_Chr_001	473504	474514	-	1010	710
Gene_000231	Random_Chr_001	474737	476462	+	1725	2795
Gene_000232	Random_Chr_001	476741	477170	+	429	346
Gene_000233	Random_Chr_001	477172	478100	+	928	1017
Gene_000234	Random_Chr_001	478153	478416	-	263	354
Gene_000235	Random_Chr_001	479228	481336	-	2108	612
Gene_000236	Random_Chr_001	483338	486423	+	3085	1499
Gene_000237	Random_Chr_001	486425	486735	+	310	64
Gene_000238	Random_Chr_001	487077	488033	+	956	3
Gene_000239	Random_Chr_001	488191	488964	-	773	1
Gene_000240	Random_Chr_001	489262	490232	+	970	16
Gene_000241	Random_Chr_001	490700	491607	+	907	32
Gene_000242	Random_Chr_001	491679	492727	-	1048	1151
Gene_000243	Random_Chr_001	492918	493202	+	284	24
Gene_000244	Random_Chr_001	493589	495208	+	1619	515
Gene_000245	Random_Chr_001	495286	498324	-	3038	217
Gene_000246	Random_Chr_001	498428	499924	-	1496	59
Gene_000247	Random_Chr_001	500554	501225	+	671	464
Gene_000248	Random_Chr_001	501329	502697	-	1368	610
Gene_000249	Random_Chr_001	503071	504568	+	1497	1037
Gene_000250	Random_Chr_001	506465	512445	+	5980	206
Gene_000251	Random_Chr_001	512554	513059	-	505	1
Gene_000252	Random_Chr_001	513789	514709	+	920	3
Gene_000253	Random_Chr_001	514985	515698	+	713	14988
Gene_000254	Random_Chr_001	516328	516925	+	597	181
Gene_000255	Random_Chr_001	516977	517288	+	311	54
Gene_000256	Random_Chr_001	517559	519100	+	1541	1221
Gene_000257	Random_Chr_001	519206	524810	-	5604	1396
Gene_000258	Random_Chr_001	524886	525383	-	497	151
Gene_000259	Random_Chr_001	527022	527533	+	511	760
Gene_000260	Random_Chr_001	527616	529663	-	2047	157
Gene_000261	Random_Chr_001	530788	531411	+	623	609
Gene_000262	Random_Chr_001	531705	532664	+	959	764
Gene_000263	Random_Chr_001	532872	533999	+	1127	4168
Gene_000264	Random_Chr_001	534924	535824	+	900	1361
Gene_000265	Random_Chr_001	535939	538337	+	2398	1332
Gene_000266	Random_Chr_001	538962	540755	+	1793	878
Gene_000267	Random_Chr_001	540762	542276	-	1514	922
Gene_000268	Random_Chr_001	542688	549013	+	6325	242
Gene_000269	Random_Chr_001	549227	550815	+	1588	1248
Gene_000270	Random_Chr_001	550954	552111	+	1157	2110
Gene_000271	Random_Chr_001	552353	553339	+	986	16
Gene_000272	Random_Chr_001	553398	554526	-	1128	462
Gene_000273	Random_Chr_001	554585	556496	+	1911	1034
Gene_000274	Random_Chr_001	556540	558045	+	1505	786
Gene_000275	Random_Chr_001	558293	558715	+	422	8287
Gene_000276	Random_Chr_001	558793	559155	-	362	732
Gene_000277	Random_Chr_001	559157	560019	-	862	1522
Gene_000278	Random_Chr_001	560220	562600	-	2380	571
Gene_000279	Random_Chr_001	564419	565656	-	1237	1167
Gene_000280	Random_Chr_001	566436	567116	+	680	836
Gene_000281	Random_Chr_001	567287	568630	+	1343	4517
Gene_000282	Random_Chr_001	569081	570207	+	1126	450
Gene_000283	Random_Chr_001	571310	573180	+	1870	7316
Gene_000284	Random_Chr_001	573267	573670	-	403	1004
Gene_000285	Random_Chr_001	574594	574869	-	275	22
Gene_000286	Random_Chr_001	575016	576647	+	1631	1992
Gene_000287	Random_Chr_001	577443	578097	+	654	0
Gene_000288	Random_Chr_001	578242	578781	+	539	546
Gene_000289	Random_Chr_001	578832	580904	-	2072	599
Gene_000290	Random_Chr_001	581201	582693	-	1492	6775
Gene_000291	Random_Chr_001	583686	585054	-	1368	1530
Gene_000292	Random_Chr_001	585261	585989	+	728	170
Gene_000293	Random_Chr_001	587315	588550	+	1235	1238
Gene_000294	Random_Chr_001	588717	589457	+	740	2
Gene_000295	Random_Chr_001	589648	591098	+	1450	22
Gene_000296	Random_Chr_001	591100	591940	+	840	120
Gene_000297	Random_Chr_001	591962	597069	-	5107	4988
Gene_000298	Random_Chr_001	597764	599208	+	1444	4849
Gene_000299	Random_Chr_001	599210	600008	-	798	114
Gene_000300	Random_Chr_001	601344	605429	+	4085	1213.5
Gene_000301	Random_Chr_001	605874	608260	+	2386	946
Gene_000302	Random_Chr_001	610741	611310	+	569	388
Gene_000303	Random_Chr_001	611483	613385	+	1902	1426
Gene_000304	Random_Chr_001	613391	613949	-	558	89
Gene_000305	Random_Chr_001	614112	615003	-	891	175
Gene_000306	Random_Chr_001	615354	615887	-	533	139
Gene_000307	Random_Chr_001	616431	617399	+	968	468
Gene_000308	Random_Chr_001	617620	619686	+	2066	27
Gene_000309	Random_Chr_001	619804	625501	-	5697	87
Gene_000310	Random_Chr_001	625693	627111	-	1418	1607
Gene_000311	Random_Chr_001	627276	628345	+	1069	879
Gene_000312	Random_Chr_001	628740	631737	+	2997	7349
Gene_000313	Random_Chr_001	631934	633276	+	1342	2922
Gene_000314	Random_Chr_001	633922	635775	-	1853	345
Gene_000315	Random_Chr_001	636193	637548	+	1355	1322
Gene_000316	Random_Chr_001	637706	638996	+	1290	1288
Gene_000317	Random_Chr_001	639000	639738	-	738	556
Gene_000318	Random_Chr_001	640192	641497	-	1305	1907
Gene_000319	Random_Chr_001	642017	642502	+	485	828
Gene_000320	Random_Chr_001	642567	644160	-	1593	3655
Gene_000321	Random_Chr_001	644576	646081	+	1505	5551
Gene_000322	Random_Chr_001	646414	648412	-	1998	914
Gene_000323	Random_Chr_001	648897	649194	+	297	227
Gene_000324	Random_Chr_001	649409	651342	-	1933	2688
Gene_000325	Random_Chr_001	652227	653093	-	866	1041
Gene_000326	Random_Chr_001	653441	654682	+	1241	1914
Gene_000327	Random_Chr_001	655687	656627	-	940	2114
Gene_000328	Random_Chr_001	656926	658460	-	1534	1114
Gene_000329	Random_Chr_001	658705	659234	-	529	839
Gene_000330	Random_Chr_001	659886	661122	+	1236	251
Gene_000331	Random_Chr_001	661310	669592	-	8282	6742
Gene_000332	Random_Chr_001	670033	672292	+	2259	256
Gene_000333	Random_Chr_001	673177	675347	-	2170	257
Gene_000334	Random_Chr_001	675609	677138	-	1529	3781
Gene_000335	Random_Chr_001	677448	680117	+	2669	4058
Gene_000336	Random_Chr_001	683452	683826	+	374	189
Gene_000337	Random_Chr_001	684658	687809	-	3151	2025
Gene_000338	Random_Chr_001	688027	688584	-	557	234
Gene_000339	Random_Chr_001	688764	690763	+	1999	1560
Gene_000340	Random_Chr_001	690849	692362	-	1513	32
Gene_000341	Random_Chr_001	692861	693304	-	443	11
Gene_000342	Random_Chr_001	693774	695093	-	1319	1261
Gene_000343	Random_Chr_001	695487	695913	-	426	320
Gene_000344	Random_Chr_001	696252	696731	+	479	1439
Gene_000345	Random_Chr_001	696898	700043	+	3145	1821
Gene_000346	Random_Chr_001	700216	700494	-	278	326
Gene_000347	Random_Chr_001	701244	703221	+	1977	1978
Gene_000348	Random_Chr_001	703314	703888	-	574	1381
Gene_000349	Random_Chr_001	704082	705692	-	1610	210
Gene_000350	Random_Chr_001	706360	707290	-	930	5368
Gene_000351	Random_Chr_001	707627	708523	+	896	2957
Gene_000352	Random_Chr_001	708580	708983	-	403	269
Gene_000353	Random_Chr_001	710015	710389	-	374	317
Gene_000354	Random_Chr_001	710462	711328	-	866	326
Gene_000355	Random_Chr_001	711590	712116	+	526	157
Gene_000356	Random_Chr_001	712250	712761	+	511	998
Gene_000357	Random_Chr_001	713387	714736	+	1349	590
Gene_000358	Random_Chr_001	714791	717194	-	2403	770
Gene_000359	Random_Chr_001	717979	732444	+	14465	1554
Gene_000360	Random_Chr_001	732652	735425	-	2773	99
Gene_000361	Random_Chr_001	735819	738795	-	2976	341
Gene_000362	Random_Chr_001	739570	740883	-	1313	47
Gene_000363	Random_Chr_001	741030	742808	+	1778	11
Gene_000364	Random_Chr_001	743033	744939	+	1906	86
Gene_000365	Random_Chr_001	744999	745874	-	875	5749
Gene_000366	Random_Chr_001	746125	746708	+	583	101
Gene_000367	Random_Chr_001	747946	750032	-	2086	192
Gene_000368	Random_Chr_001	750887	752012	+	1125	673
Gene_000369	Random_Chr_001	753804	754812	+	1008	1959
Gene_000370	Random_Chr_001	755294	756927	+	1633	9912
Gene_000371	Random_Chr_001	756975	761721	-	4746	5312
Gene_000372	Random_Chr_001	764676	766434	-	1758	16
Gene_000373	Random_Chr_001	766525	769186	-	2661	1577
Gene_000374	Random_Chr_001	769379	770410	+	1031	46
Gene_000375	Random_Chr_001	770950	775051	+	4101	186
Gene_000376	Random_Chr_001	775296	776040	-	744	2733
Gene_000377	Random_Chr_001	776088	778143	-	2055	4872
Gene_000378	Random_Chr_001	778538	781541	+	3003	64
Gene_000379	Random_Chr_001	781691	782339	-	648	314
Gene_000380	Random_Chr_001	783183	784994	-	1811	538
Gene_000381	Random_Chr_001	785239	785897	+	658	168
Gene_000382	Random_Chr_001	786029	789553	+	3524	1246
Gene_000383	Random_Chr_001	789654	791143	-	1489	0
Gene_000384	Random_Chr_001	791432	792933	-	1501	47
Gene_000385	Random_Chr_001	793145	794618	-	1473	9
Gene_000386	Random_Chr_001	794931	796895	+	1964	150
Gene_000387	Random_Chr_001	796949	798532	-	1583	523
Gene_000388	Random_Chr_001	800045	800332	-	287	657
Gene_000389	Random_Chr_001	801020	802564	+	1544	314
Gene_000390	Random_Chr_001	802905	803677	+	772	12
Gene_000391	Random_Chr_001	803839	804219	-	380	264
Gene_000392	Random_Chr_001	804221	804743	-	522	230
Gene_000393	Random_Chr_001	804930	805481	+	551	26
Gene_000394	Random_Chr_001	806603	807579	-	976	954
Gene_000395	Random_Chr_001	808125	809788	-	1663	393.92
Gene_000396	Random_Chr_001	810231	810721	-	490	204
Gene_000397	Random_Chr_001	810894	814296	+	3402	5054
Gene_000398	Random_Chr_001	814454	815457	+	1003	84
Gene_000399	Random_Chr_001	815621	818084	+	2463	18
Gene_000400	Random_Chr_001	819711	823525	+	3814	2628
Gene_000401	Random_Chr_001	823823	829684	+	5861	2844.5
Gene_000402	Random_Chr_001	829882	831043	+	1161	716
Gene_000403	Random_Chr_001	831175	832518	+	1343	62
Gene_000404	Random_Chr_001	832589	832962	-	373	32
Gene_000405	Random_Chr_001	834061	836013	+	1952	11665
Gene_000406	Random_Chr_001	836052	836651	-	599	17
Gene_000407	Random_Chr_001	837847	838440	+	593	32
Gene_000408	Random_Chr_001	838566	840011	+	1445	39
Gene_000409	Random_Chr_001	840106	841251	+	1145	504
Gene_000410	Random_Chr_001	841389	841860	+	471	479
Gene_000411	Random_Chr_001	841922	842913	-	991	0
Gene_000412	Random_Chr_001	843026	844267	-	1241	1472
Gene_000413	Random_Chr_001	844528	844948	+	420	910
Gene_000414	Random_Chr_001	845503	845883	+	380	528
Gene_000415	Random_Chr_001	846447	846520	-	73	2.58
Gene_000416	Random_Chr_001	846706	846779	-	73	2.58
Gene_000417	Random_Chr_001	846967	847040	-	73	0.58
Gene_000418	Random_Chr_001	847226	847299	-	73	3.92
Gene_000419	Random_Chr_001	848054	848127	-	73	3
Gene_000420	Random_Chr_001	848284	853201	+	4917	1403
Gene_000421	Random_Chr_001	853275	855053	-	1778	205
Gene_000422	Random_Chr_001	855427	857525	+	2098	8
Gene_000423	Random_Chr_001	857747	859359	-	1612	1369
Gene_000424	Random_Chr_001	859361	859643	+	282	461
Gene_000425	Random_Chr_001	859945	861512	+	1567	1934
Gene_000426	Random_Chr_001	861601	862655	-	1054	400
Gene_000427	Random_Chr_001	862855	863260	+	405	24
Gene_000428	Random_Chr_001	863417	863955	+	538	792
Gene_000429	Random_Chr_001	864005	864355	+	350	833
Gene_000430	Random_Chr_001	864470	865688	-	1218	1487
Gene_000431	Random_Chr_001	865734	866694	+	960	202
Gene_000432	Random_Chr_001	867786	868082	+	296	39
Gene_000433	Random_Chr_001	868231	869495	+	1264	1175
Gene_000434	Random_Chr_001	870348	870995	-	647	246
Gene_000435	Random_Chr_001	871038	871868	+	830	168
Gene_000436	Random_Chr_001	872078	878231	+	6153	1696
Gene_000437	Random_Chr_001	878233	879525	-	1292	1144
Gene_000438	Random_Chr_001	880206	880703	+	497	0
Gene_000439	Random_Chr_001	880968	881693	+	725	2
Gene_000440	Random_Chr_001	881856	882149	+	293	12
Gene_000441	Random_Chr_001	882464	882820	+	356	238
Gene_000442	Random_Chr_001	882866	884012	-	1146	2596
Gene_000443	Random_Chr_001	884379	886641	+	2262	2722
Gene_000444	Random_Chr_001	886644	887652	-	1008	1580
Gene_000445	Random_Chr_001	888411	889451	-	1040	67
Gene_000446	Random_Chr_001	889668	890383	+	715	3055
Gene_000447	Random_Chr_001	890439	891458	-	1019	3582
Gene_000448	Random_Chr_001	891652	892341	-	689	2437
Gene_000449	Random_Chr_001	894934	896651	-	1717	32
Gene_000450	Random_Chr_001	896791	897352	-	561	689
Gene_000451	Random_Chr_001	897617	898946	+	1329	2946
Gene_000452	Random_Chr_001	898991	900539	-	1548	393.5
Gene_000453	Random_Chr_001	901208	902306	-	1098	982
Gene_000454	Random_Chr_001	903387	905023	-	1636	41
Gene_000455	Random_Chr_001	905605	906129	-	524	546
Gene_000456	Random_Chr_001	906682	908073	+	1391	125999
Gene_000457	Random_Chr_001	908878	909839	+	961	5
Gene_000458	Random_Chr_001	909960	910700	-	740	1019
Gene_000459	Random_Chr_001	911092	912343	+	1251	1041
Gene_000460	Random_Chr_001	912491	915218	+	2727	8365
Gene_000461	Random_Chr_001	916283	917225	+	942	72
Gene_000462	Random_Chr_001	917229	918181	-	952	1866
Gene_000463	Random_Chr_001	918448	919140	-	692	217
Gene_000464	Random_Chr_001	919385	920820	+	1435	2495
Gene_000465	Random_Chr_001	920844	923851	-	3007	3029
Gene_000466	Random_Chr_001	923955	925515	-	1560	1793
Gene_000467	Random_Chr_001	925692	926929	-	1237	22
Gene_000468	Random_Chr_001	928759	929047	-	288	300
Gene_000469	Random_Chr_001	929134	931560	-	2426	920
Gene_000470	Random_Chr_001	931605	933042	+	1437	179
Gene_000471	Random_Chr_001	934616	935230	-	614	1137
Gene_000472	Random_Chr_001	935513	938541	+	3028	1011
Gene_000473	Random_Chr_001	938748	939076	-	328	20
Gene_000474	Random_Chr_001	939749	941315	+	1566	3450
Gene_000475	Random_Chr_001	941639	942558	+	919	1052
Gene_000476	Random_Chr_001	942882	943510	+	628	356
Gene_000477	Random_Chr_001	944049	945877	+	1828	77
Gene_000478	Random_Chr_001	946501	946909	+	408	8
Gene_000479	Random_Chr_001	947080	947646	+	566	7
Gene_000480	Random_Chr_001	947757	948808	+	1051	7
